Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
SPAXX,1.0,2026/04/23,20:04 EDT,,,,,,20260422,1.0,4.41,,,,,BUY
WDC,403.12,2026/04/23,16:00 EDT,14.02,387.06,416.37,385.8105,6743477,,242.86,2.8,,,,,BUY
TEM,51.44,2026/04/23,16:00 EDT,-4.07,54.36,54.5,50.03,5713761,,74.04,21.9,,,,,BUY
STX,587.62,2026/04/23,16:00 EDT,7.73999,574.58,607.89,573.0101,3147850,,409.98,2.0,,,,,BUY
SOFI,18.32,2026/04/23,16:00 EDT,-0.74,18.78,18.9,17.93,51402191,,12.94,110.0,,,,,BUY
SNDK,932.43,2026/04/23,16:00 EDT,-46.64,948.545,978.8799,926.1101,12155873,,651.06,1.0,,,,,BUY
SES,1.22,2026/04/23,16:00 EDT,-0.05,1.31,1.31,1.19,6969801,,1.89,584.0,,,,,BUY
RR,2.56,2026/04/23,16:00 EDT,-0.21,2.73,2.8,2.49,9505664,,3.14,295.0,,,,,BUY
PLTR,141.57,2026/04/23,16:00 EDT,-11.05,149.7,150.29,139.92,58248826,,113.19,56.3,,,,,BUY
PATH,10.09,2026/04/23,16:00 EDT,-0.8,10.5,10.5,9.9,33973989,,14.86,100.0,,,,,BUY
OKLO,76.46,2026/04/23,16:00 EDT,4.05,77.73,80.64,73.67,31538233,,113.09,11.7,,,,,BUY
NVTS,18.51,2026/04/23,16:00 EDT,0.0400009,17.985,19.44,17.64,53226319,,13.3,44.0,,,,,BUY
NBIS,157.08,2026/04/23,16:00 EDT,0.940002,155.9,165.81,154.07,13630590,,65.65,30.75,,,,,BUY
MU,481.72,2026/04/23,16:00 EDT,-5.76001,482.172,493.6199,471.8,37680357,,384.06,12.35,,,,,BUY
AMAT,403.91,2026/04/23,16:00 EDT,0.429993,406.17,413.82,397.14,4401364,,270.87,3.5,,,,,BUY
APLD,36.35,2026/04/23,16:00 EDT,3.92,34.78,37.26,34.58,51738549,,12.84,74.5,,,,,BUY
APP,454.17,2026/04/23,16:00 EDT,-29.54,471.16,471.19,442.3893,3507382,,184.82,6.58,,,,,BUY
ASTS,78.75,2026/04/23,16:00 EDT,-5.91,82.454,83.43,76.92,15501529,,34.48,12.9,,,,,BUY
BBAI,3.73,2026/04/23,16:00 EDT,-0.26,3.9,3.93,3.64,30772422,,7.61,105.0,,,,,BUY
HIMS,28.15,2026/04/23,16:00 EDT,-0.860001,30.33,31.44,27.03,44670932,,51.52,38.0,,,,,BUY
CRML,10.64,2026/04/23,16:00 EDT,-1.22,11.45,11.63,10.3803,12321006,,28.35,6.5,,,,,BUY
